iter	Passed	Remaining
0	1	1245
1	2	1054
2	3	1230
3	4	1241
4	6	1200
5	6	1141
6	7	1101
7	8	1060
8	9	1067
9	10	1056
10	11	1039
11	12	1021
12	13	1002
13	14	986
14	14	973
15	15	961
16	16	962
17	17	953
18	18	939
19	18	928
20	19	919
21	20	910
22	21	901
23	21	891
24	22	887
25	23	884
26	24	879
27	25	875
28	26	871
29	26	865
30	27	859
31	28	855
32	28	846
33	29	844
34	30	840
35	31	838
36	32	837
37	33	837
38	33	834
39	34	830
40	35	828
41	36	829
42	37	828
43	38	827
44	38	820
45	39	818
46	40	814
47	40	810
48	41	809
49	42	808
50	43	808
51	44	807
52	45	805
53	45	803
54	46	803
55	47	801
56	48	800
57	49	798
58	49	796
59	50	794
60	51	792
61	52	789
62	52	787
63	53	784
64	54	784
65	55	783
66	56	782
67	56	779
68	57	777
69	58	774
70	59	773
71	59	771
72	60	770
73	61	769
74	62	769
75	63	768
76	64	767
77	64	766
78	65	765
79	66	764
80	67	762
81	68	761
82	68	760
83	69	759
84	70	756
85	71	755
86	71	754
87	72	753
88	73	752
89	74	752
90	75	751
91	76	751
92	76	750
93	77	749
94	78	748
95	79	748
96	80	747
97	81	746
98	81	745
99	82	743
100	83	741
101	84	740
102	85	740
103	85	739
104	86	737
105	87	736
106	88	736
107	89	735
108	89	734
109	90	732
110	91	731
111	92	733
112	93	734
113	94	733
114	95	733
115	96	732
116	96	731
117	97	729
118	98	729
119	99	729
120	100	728
121	101	727
122	101	726
123	102	725
124	103	724
125	104	723
126	105	722
127	106	723
128	107	723
129	107	722
130	108	721
131	109	720
132	110	719
133	111	718
134	111	716
135	112	715
136	113	714
137	114	713
138	114	711
139	115	710
140	116	708
141	117	707
142	117	706
143	118	705
144	119	704
145	120	703
146	120	701
147	121	700
148	122	698
149	123	697
150	123	696
151	124	695
152	125	693
153	126	692
154	126	691
155	127	689
156	128	688
157	129	687
158	129	686
159	130	685
160	131	684
161	132	683
162	132	682
163	133	680
164	134	679
165	135	678
166	135	677
167	136	676
168	137	675
169	138	675
170	139	674
171	140	674
172	140	672
173	141	671
174	142	670
175	142	669
176	143	668
177	144	666
178	145	665
179	145	664
180	146	664
181	147	663
182	148	662
183	149	661
184	149	660
185	150	660
186	151	659
187	152	658
188	153	657
189	154	656
190	154	655
191	155	654
192	156	653
193	157	652
194	157	651
195	158	650
196	159	649
197	160	648
198	160	647
199	161	647
200	162	646
201	163	645
202	164	644
203	164	643
204	165	642
205	166	640
206	166	639
207	167	638
208	168	637
209	169	636
210	169	635
211	170	633
212	171	633
213	172	631
214	172	630
215	173	630
216	174	628
217	175	628
218	175	627
219	176	626
220	177	625
221	178	624
222	179	623
223	179	623
224	180	622
225	181	621
226	182	620
227	183	620
228	183	619
229	184	618
230	185	617
231	186	616
232	186	615
233	187	614
234	188	613
235	189	612
236	189	611
237	190	610
238	191	609
239	192	608
240	193	607
241	193	606
242	194	606
243	195	605
244	196	604
245	196	603
246	197	602
247	198	601
248	199	600
249	199	599
250	200	598
251	201	597
252	202	596
253	202	595
254	203	594
255	204	593
256	205	592
257	205	591
258	206	591
259	207	590
260	208	590
261	209	589
262	209	588
263	210	587
264	211	586
265	212	585
266	213	585
267	213	584
268	214	583
269	215	582
270	216	581
271	217	580
272	217	580
273	218	579
274	219	579
275	220	579
276	221	578
277	222	578
278	223	577
279	224	576
280	224	575
281	225	574
282	226	573
283	227	573
284	228	572
285	228	571
286	229	570
287	230	569
288	231	568
289	232	568
290	233	568
291	234	567
292	235	567
293	235	566
294	236	565
295	237	564
296	237	563
297	238	562
298	239	561
299	240	560
300	241	559
301	241	558
302	242	558
303	243	556
304	244	556
305	244	555
306	245	554
307	246	553
308	247	553
309	248	552
310	248	551
311	249	550
312	250	549
313	251	549
314	252	548
315	253	547
316	253	547
317	254	546
318	255	545
319	256	544
320	257	543
321	257	543
322	258	542
323	259	541
324	260	540
325	261	539
326	261	538
327	262	537
328	263	536
329	264	536
330	264	535
331	265	534
332	266	533
333	267	532
334	267	531
335	268	530
336	269	529
337	270	529
338	270	528
339	271	527
340	272	526
341	273	525
342	274	524
343	274	523
344	275	523
345	276	522
346	277	521
347	277	520
348	278	519
349	279	518
350	280	517
351	280	517
352	281	516
353	282	515
354	283	514
355	284	514
356	285	513
357	285	512
358	286	511
359	287	510
360	288	509
361	288	509
362	289	508
363	290	507
364	291	507
365	292	506
366	293	505
367	293	504
368	294	503
369	295	502
370	296	502
371	296	501
372	297	500
373	298	499
374	299	498
375	299	497
376	300	496
377	301	496
378	302	495
379	303	494
380	304	493
381	304	493
382	305	492
383	306	491
384	307	491
385	308	491
386	309	490
387	310	490
388	311	489
389	312	489
390	313	488
391	315	488
392	316	488
393	316	487
394	317	486
395	318	485
396	319	484
397	319	483
398	320	483
399	321	482
400	322	481
401	323	480
402	324	480
403	324	479
404	325	478
405	326	477
406	327	476
407	328	476
408	328	475
409	329	474
410	330	473
411	331	472
412	332	471
413	332	471
414	333	470
415	334	469
416	335	468
417	336	467
418	336	467
419	337	466
420	338	465
421	339	464
422	340	463
423	340	463
424	341	462
425	342	461
426	343	460
427	344	459
428	344	459
429	345	458
430	346	457
431	347	456
432	348	456
433	349	455
434	350	454
435	350	453
436	351	452
437	352	452
438	353	451
439	354	450
440	354	449
441	355	449
442	356	448
443	357	447
444	358	446
445	358	445
446	359	445
447	360	444
448	361	443
449	362	442
450	363	442
451	363	441
452	364	440
453	365	439
454	366	438
455	367	438
456	368	437
457	368	436
458	369	435
459	370	434
460	371	434
461	372	433
462	372	432
463	373	431
464	374	430
465	375	429
466	375	428
467	376	428
468	377	427
469	377	426
470	378	425
471	379	424
472	380	423
473	381	422
474	381	421
475	382	421
476	383	420
477	383	419
478	384	418
479	385	417
480	386	417
481	387	416
482	388	415
483	388	414
484	389	413
485	390	413
486	391	412
487	392	411
488	392	410
489	393	409
490	394	409
491	395	408
492	396	407
493	396	406
494	397	405
495	398	404
496	399	404
497	400	403
498	400	402
499	401	401
500	402	400
501	403	399
502	403	399
503	404	398
504	405	397
505	406	396
506	407	395
507	407	395
508	408	394
509	409	393
510	410	392
511	411	392
512	412	391
513	413	390
514	414	389
515	414	389
516	415	388
517	416	387
518	417	386
519	418	386
520	419	385
521	419	384
522	420	383
523	421	382
524	422	381
525	422	381
526	423	380
527	424	379
528	425	378
529	425	377
